iter	RMSE
0	0.3960041586
1	0.3931594047
2	0.3908459074
3	0.388953712
4	0.3874278223
5	0.3862369485
6	0.3852229409
7	0.3844388336
8	0.383796185
9	0.3832754896
10	0.3828224287
11	0.3824431647
12	0.3821143505
13	0.381810705
14	0.3815656121
15	0.3813599821
16	0.3811650322
17	0.3809724528
18	0.380824315
19	0.3806807968
20	0.3805510192
21	0.3804103692
22	0.3803156617
23	0.3801986668
24	0.3801147086
25	0.3800335352
26	0.3799537819
27	0.379888115
28	0.3798093425
29	0.3797349302
30	0.3796797242
31	0.3796215385
32	0.3795688521
33	0.3795169384
34	0.3794698355
35	0.379429086
36	0.3793667384
37	0.3793172296
38	0.3792738095
39	0.3792359868
40	0.3791947199
41	0.379157901
42	0.3791215303
43	0.3790837714
44	0.3790410251
45	0.3790049645
46	0.3789787056
47	0.3789400702
48	0.3789035693
49	0.3788677783
50	0.3788345341
51	0.3788067347
52	0.3787638744
53	0.3787325452
54	0.3787003479
55	0.378672591
56	0.378650271
57	0.3786254965
58	0.3786055408
59	0.3785803346
60	0.3785451084
61	0.3785198257
62	0.3784991599
63	0.3784711521
64	0.3784427034
65	0.3784199147
66	0.3783979696
67	0.3783784747
68	0.3783586584
69	0.3783412887
70	0.378314306
71	0.3782935387
72	0.378265752
73	0.3782389351
74	0.3782185673
75	0.3782016052
76	0.3781810322
77	0.3781666179
78	0.3781482953
79	0.3781267106
80	0.3781102756
81	0.3780896958
82	0.3780699099
83	0.3780440891
84	0.3780242729
85	0.3780096915
86	0.3779897094
87	0.3779704325
88	0.3779520922
89	0.377931669
90	0.3778979057
91	0.3778798324
92	0.377863044
93	0.3778509523
94	0.3778334426
95	0.3778074734
96	0.3777945573
97	0.3777769105
98	0.377761205
99	0.3777498556
100	0.3777327029
101	0.377708441
102	0.3776951764
103	0.37767505
104	0.3776487948
105	0.3776297679
106	0.3776116084
107	0.3775936087
108	0.3775799295
109	0.3775646197
110	0.3775505917
111	0.3775327009
112	0.3775149364
113	0.3774922266
114	0.3774737512
115	0.3774492931
116	0.3774297377
117	0.377409594
118	0.3773833669
119	0.377367627
120	0.3773489831
121	0.3773233119
122	0.377304555
123	0.3772819604
124	0.3772646849
125	0.3772484035
126	0.3772324557
127	0.3772214342
128	0.3772054582
129	0.3771890127
130	0.3771689136
131	0.3771510965
132	0.3771369852
133	0.3771225425
134	0.3771066794
135	0.3770892447
136	0.3770716688
137	0.3770557656
138	0.3770397276
139	0.3770237645
140	0.3770064127
141	0.3769858403
142	0.3769662021
143	0.3769476232
144	0.3769295317
145	0.3769181081
146	0.3768994506
147	0.37688933
148	0.376874359
149	0.3768614518
150	0.3768479916
151	0.3768287683
152	0.3768076156
153	0.3767915342
154	0.376772468
155	0.3767506603
156	0.3767367346
157	0.376722159
158	0.3767070873
159	0.3766921921
160	0.3766758113
161	0.3766641965
162	0.3766477077
163	0.3766309472
164	0.3766192039
165	0.3766003765
166	0.3765890115
167	0.3765753663
168	0.3765583119
169	0.3765415726
170	0.3765272542
171	0.3765092125
172	0.3764917658
173	0.3764749644
174	0.3764618278
175	0.3764465652
176	0.37643229
177	0.3764198046
178	0.3764058896
179	0.3763897502
180	0.3763725182
181	0.376356449
182	0.3763422132
183	0.3763289412
184	0.3763184694
185	0.376301439
186	0.3762889988
187	0.3762720364
