iter	Passed	Remaining
0	101	101126
1	151	75760
2	209	69643
3	260	64956
4	312	62264
5	366	60798
6	421	59750
7	470	58330
8	520	57324
9	566	56116
10	617	55509
11	670	55213
12	723	54924
13	775	54650
14	824	54146
15	879	54084
16	930	53784
17	983	53629
18	1033	53342
19	1085	53173
20	1143	53323
21	1198	53284
22	1249	53078
23	1308	53199
24	1362	53128
25	1414	52980
26	1465	52804
27	1514	52568
28	1567	52488
29	1624	52526
30	1669	52171
31	1725	52187
32	1781	52194
33	1837	52195
34	1893	52202
35	1944	52062
36	1994	51920
37	2051	51940
38	2099	51740
39	2148	51575
40	2197	51404
41	2247	51255
42	2293	51053
43	2346	50982
44	2395	50830
45	2440	50606
46	2484	50383
47	2529	50167
48	2574	49973
49	2619	49763
50	2664	49580
51	2714	49480
52	2761	49347
53	2808	49200
54	2855	49061
55	2897	48835
56	2938	48608
57	2986	48505
58	3034	48402
59	3082	48288
60	3134	48244
61	3174	48023
62	3222	47923
63	3267	47781
64	3320	47758
65	3368	47675
66	3416	47577
67	3458	47403
68	3508	47337
69	3552	47201
70	3596	47054
71	3642	46948
72	3689	46855
73	3735	46740
74	3779	46612
75	3824	46496
76	3872	46421
77	3917	46305
78	3959	46161
79	4006	46072
80	4050	45952
81	4101	45913
82	4153	45893
83	4202	45823
84	4248	45737
85	4292	45619
86	4334	45486
87	4386	45464
88	4432	45366
89	4474	45237
90	4524	45193
91	4571	45122
92	4612	44985
93	4657	44894
94	4709	44863
95	4759	44817
96	4801	44694
97	4846	44607
98	4893	44539
99	4934	44414
100	4978	44312
101	5027	44257
102	5075	44204
103	5123	44142
104	5177	44134
105	5230	44112
106	5278	44054
107	5328	44007
108	5369	43892
109	5411	43786
110	5455	43693
111	5499	43606
112	5543	43514
113	5589	43441
114	5634	43357
115	5681	43299
116	5724	43206
117	5774	43164
118	5819	43085
119	5862	42990
120	5906	42907
121	5950	42824
122	5998	42769
123	6043	42697
124	6085	42600
125	6127	42506
126	6178	42468
127	6221	42382
128	6265	42303
129	6315	42267
130	6361	42198
131	6405	42122
132	6447	42031
133	6492	41955
